ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saydel-huntington-park, Saydel, False,3235812700,4,4.5, Huntington Park, CA,90255, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azla-los-angeles, Azla, True,2137457455,110,4.5, Los Angeles, CA,90007, Under $10, No, Yes, Yes, Yes, Lunch, Private Lot, Yes, Yes, Yes, Casual, Casual, Average, No, No, Free, No, No, Yes, [u'Ethiopian', u'ethiopian'], [u'Vegan', u'vegan'], [u'Gluten-Free', u'gluten_free'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taste-of-india-huntington-park, Taste of India, False,3235822979,77,4.5, Huntington Park, CA,90255, , , , , , , , , , , , , , , , , , , , [u'Indian', u'indpak'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-good-karma-cafe-los-angeles, The Good Karma Cafe, True,2135319616,24,4.5, Los Angeles, CA,90089, Under $10, No, No, Yes, No, Lunch, Street, Yes, Yes, Yes, Casual, Casual, Average, No, Yes, Free, No, No, Yes, [u'Italian', u'italian'], [u'Indian', u'indpak'], [u'Buffets', u'buffets'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taras-himalayan-cuisine-los-angeles-2, Tara's Himalayan Cuisine, True,3237669775,42,4.5, Los Angeles, CA,90007, Under $10, Yes, Yes, Yes, Yes, Brunch, Private Lot, Yes, Yes, Yes, Casual, Casual, Quiet, No, No, No, No, Yes, Yes, [u'Himalayan/Nepalese', u'himalayan'], [u'Indian', u'indpak'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manas-indian-cuisine-los-angeles-2, Manas Indian Cuisine, True,3237314333,333,3.5, Los Angeles, CA,90007, , , , , , , , , , , , , , , , , , , , [u'Indian', u'indpak'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd-street-cafe-los-angeles, 23rd Street Cafe, True,2137491593,223,4, Los Angeles, CA,90007, Under $10, No, No, Yes, Yes, Lunch, Street, Yes, Yes, Yes, Casual, Casual, Average, No, Yes, Free, No, No, No, [u'Indian', u'indpak'], [u'Mexican', u'mexican'], [u'American (New)', u'newamerican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dosa-truck-los-angeles, Dosa Truck, False,3108011441,119,3, Los Angeles, CA,90015, Under $10, No, No, Yes, No, Lunch, Street, , Yes, Yes, Casual, , Average, No, Yes, , , No, , [u'Indian', u'indpak'], [u'Food Stands', u'foodstands'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuff-i-eat-inglewood, Stuff I Eat, True,3106710115,478,4.5, Inglewood, CA,90301, , , , , , , , , , , , , , , , , , , , [u'Vegan', u'vegan'], [u'Vegetarian', u'vegetarian'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gills-indian-restaurant-los-angeles-2, Gill's Indian Restaurant, True,2136231050,316,3.5, Los Angeles, CA,90017, , , , , , , , , , , , , , , , , , , , [u'Indian', u'indpak'], [u'Buffets', u'buffets'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
massala-hut-los-angeles, Massala Hut, True,3237322222,31,4, Los Angeles, CA,90006, Under $10, Yes, Yes, Yes, Yes, Dinner, Private Lot, Yes, Yes, No, Casual, Divey, Quiet, No, No, No, Yes, Yes, No, [u'Halal', u'halal'], [u'Pizza', u'pizza'], [u'Indian', u'indpak'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indus-by-saffron-los-angeles, Indus by Saffron, True,2136881400,100,4, Los Angeles, CA,90017, , , , , , , , , , , , , , , , , , , , [u'Indian', u'indpak'], [u'Fast Food', u'hotdogs'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saffron-los-angeles, Saffron, True,2134889754,147,3.5, Los Angeles, CA,90071, Under $10, No, No, Yes, Yes, Lunch, Garage, Yes, Yes, Yes, Casual, Casual, Average, No, No, No, No, No, Yes, [u'Indian', u'indpak'], [u'Fast Food', u'hotdogs'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
badmaash-los-angeles-2, Badmaash, True,2132217466,632,4, Los Angeles, CA,90012, , , , , , , , , , , , , , , , , , , , [u'Indian', u'indpak'], [u'Gastropubs', u'gastropubs'], [u'American (New)', u'newamerican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saffron-los-angeles-4, Saffron, True,2136870555,20,4.5, Los Angeles, CA,90071, Under $10, No, No, Yes, Yes, Lunch, , Yes, Yes, Yes, Casual, Casual, Quiet, No, Yes, No, No, No, No, [u'Indian', u'indpak'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
un-curry-los-angeles, Un-Curry, True,8182717018,13,5, Los Angeles, CA, , Above $61, Yes, No, Yes, Yes, , , , No, Yes, Casual, , Average, No, Yes, No, Yes, No, Yes, [u'Food Delivery Services', u'fooddeliveryservices'], [u'Indian', u'indpak'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bilal-halal-inglewood, Bilal Halal, False,3106414435,137,3.5, Inglewood, CA,90312, $11-30, No, No, Yes, Yes, Lunch+ Dinner, Private Lot, Yes, Yes, Yes, Casual, Casual, Average, No, No, No, Yes, Yes, Yes, [u'Indian', u'indpak'], [u'Halal', u'halal'], [u'Pakistani', u'pakistani'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-village-hawthorne, The Village, False,3109731425,39,4, Hawthorne, CA,90250, $11-30, Yes, Yes, Yes, Yes, , Street, Yes, Yes, Yes, Casual, , Average, No, No, No, No, No, Yes, [u'Pakistani', u'pakistani'], [u'Indian', u'indpak'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makkah-halal-tandoori-los-angeles, Makkah Halal Tandoori, True,2133839976,132,3.5, Los Angeles, CA,90020, $11-30, No, Yes, Yes, Yes, Dinner, Private Lot, Yes, Yes, Yes, Casual, , Quiet, No, No, No, Yes, Yes, Yes, [u'Indian', u'indpak'], [u'Pakistani', u'pakistani'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biriyani-kabob-house-los-angeles, Biriyani Kabob House, True,2133843570,234,4.5, Los Angeles, CA,90020, Under $10, Yes, Yes, Yes, Yes, Dessert, Private Lot, Yes, Yes, Yes, Casual, Casual, Average, No, Yes, Free, Yes, Yes, Yes, [u'Bangladeshi', u'bangladeshi'], [u'Halal', u'halal'], [u'Indian', u'indpak'], ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragon-loco-los-angeles, Dragon Loco, False,3235654060,21,3.5, Los Angeles, CA,90044, Under $10, No, No, Yes, Yes, Lunch+ Dinner, Private Lot, Yes, Yes, No, Casual, , Quiet, No, No, No, No, No, Yes, [u'Chinese', u'chinese'], [u'Asian Fusion', u'asianfusion'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hong-kong-express-los-angeles-23, Hong Kong Express, False,3235887001,3,4, Los Angeles, CA,90001, Under $10, No, No, Yes, Yes, , , Yes, Yes, Yes, Casual, , Average, No, No, No, No, No, Yes, [u'Chinese', u'chinese'], ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aladin-sweets-and-market-los-angeles, Aladin Sweets & Market, True,2133829592,118,3.5, Los Angeles, CA,90004, Under $10, , No, Yes, Yes, Lunch, Street+ Private Lot, Yes, Yes, Yes, Casual, Divey, Average, No, No, Free, Yes, No, Yes, [u'Grocery', u'grocery'], [u'Indian', u'indpak'], [u'Halal', u'halal'], ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda-express-huntington-park, Panda Express, False,3232779486,32,2.5, Huntington Park, CA,90255, Under $10, No, No, Yes, Yes, Lunch, Private Lot, Yes, Yes, Yes, Casual, Casual, Average, No, Yes, No, No, No, Yes, [u'Chinese', u'chinese'], [u'Fast Food', u'hotdogs'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariya-thai-kitchen-huntington-park, Ariya Thai Kitchen, True,3235891245,59,4.5, Huntington Park, CA,90255, , , , , , , , , , , , , , , , , , , , [u'Thai', u'thai'], ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corner-kitchen-huntington-park, Corner Kitchen, False,3235881182,16,4.5, Huntington Park, CA,90255, Under $10, No, No, Yes, Yes, Brunch+ Dessert, Street, Yes, Yes, Yes, Casual, Casual, Average, No, No, No, No, No, Yes, [u'Coffee & Tea', u'coffee'], [u'Chinese', u'chinese'], [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perfect-1-dollar-chinese-food-los-angeles, Perfect 1 Dollar Chinese Food, True,3238460774,1,1, Los Angeles, CA,90058, , , No, , No, , , , Yes, Yes, , , , , , , , , , [u'Chinese', u'chinese'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tasty-thai-huntington-park, Tasty Thai, False,3235827770,41,4, Huntington Park, CA,90255, Under $10, No, Yes, Yes, Yes, Lunch, Street+ Private Lot, Yes, Yes, Yes, Casual, Casual, Average, No, No, No, Yes, Yes, Yes, [u'Thai', u'thai'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china-bowl-los-angeles-2, China Bowl, False,3232993288,22,4, Los Angeles, CA,90047, Under $10, No, No, Yes, No, Lunch, , No, Yes, Yes, Casual, Casual, Loud, No, No, No, No, No, Yes, [u'Chinese', u'chinese'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jade-siam-restaurants-huntington-park, Jade Siam Restaurants, False,3235898391,164,4, Huntington Park, CA,90255, Under $10, No, Yes, Yes, Yes, Lunch, Private Lot, Yes, Yes, Yes, Casual, Casual, Average, No, No, No, Yes, Yes, Yes, [u'Thai', u'thai'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thai-corner-food-express-los-angeles, Thai Corner Food Express, True,2137488006,129,3, Los Angeles, CA,90007, , , , , , , , , , , , , , , , , , , , [u'Thai', u'thai'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragon-loco-south-gate, Dragon Loco, False,3235670888,35,4.5, South Gate, CA,90280, , , , , , , , , , , , , , , , , , , , [u'Chinese', u'chinese'], ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el-tapatio-los-angeles-3, El Tapatio, False,3237511452,5,3, Los Angeles, CA,90003, Under $10, No, No, Yes, Yes, , , Yes, Yes, Yes, Casual, , Average, Full Bar, Yes, No, Yes, No, No, [u'Mexican', u'mexican'], [u'Grocery', u'grocery'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacos-arandas-los-angeles, Tacos Arandas, False, ,12,5, Los Angeles, CA,90003, Under $10, No, No, Yes, No, Late Night, Private Lot, Yes, Yes, Yes, Casual, , Average, No, Yes, No, No, Yes, No, [u'Mexican', u'mexican'], [u'Food Stands', u'foodstands'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el-compadre-restaurant-los-angeles-2, El Compadre Restaurant, False,3237517148,4,3, Los Angeles, CA,90003, , , , , , , , , , , , , , , , , , , , [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramonas-mexican-food-products-los-angeles, Ramona's Mexican Food Products, False,3237524191,38,3.5, Los Angeles, CA,90003, Under $10, No, No, Yes, Yes, Lunch, Private Lot, No, Yes, No, Casual, Casual, Average, No, No, No, No, No, No, [u'Mexican', u'mexican'], [u'Ethnic Food', u'ethnicmarkets'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el-mexicano-market-los-angeles, El Mexicano Market, False,3237531312,4,3.5, Los Angeles, CA,90003, Under $10, No, No, Yes, Yes, , , , Yes, No, Casual, , Average, , No, No, No, Yes, , [u'Grocery', u'grocery'], [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las-islas-marias-los-angeles, Las Islas Marias, False,3237537367,32,3.5, Los Angeles, CA,90003, $11-30, No, No, Yes, Yes, Lunch, Private Lot, Yes, Yes, Yes, Casual, , Very Loud, Beer & Wine Only, Yes, No, Yes, Yes, No, [u'Seafood', u'seafood'], [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carrillos-restaurant-los-angeles, Carrillos Restaurant, False,3237595216,3,5, Los Angeles, CA,90003, , , , , , , , , , , , , , , , , , , , [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taqueria-tijuana-los-angeles, Taqueria Tijuana, False,3237501719,25,4.5, Los Angeles, CA,90003, Under $10, No, No, Yes, No, Brunch, Street, No, Yes, Yes, Casual, Casual, Quiet, Beer & Wine Only, Yes, No, No, Yes, Yes, [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arturos-tacos-los-angeles, Arturo's Tacos, False,3237514302,8,3, Los Angeles, CA,90003, Under $10, No, Yes, Yes, Yes, Lunch, , , Yes, Yes, Casual, , Average, No, Yes, Paid, Yes, No, Yes, [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el-cihualteco-taqueria-los-angeles, El Cihualteco Taqueria, False,3237599539,1,4, Los Angeles, CA,90189, , , , , , , , , , , , , , , , , , , , [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
los-cocos-los-angeles-2, Los Cocos, False,3237500211,3,3.5, Los Angeles, CA,90001, Under $10, No, No, Yes, No, Lunch, , No, Yes, Yes, Casual, , Loud, , Yes, No, Yes, Yes, , [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacos-el-gavilan-the-original-taco-truck-los-angeles-2, Tacos El Gavilan The Original Taco Truck, True,3239713586,15,4.5, Los Angeles, CA,90003, Under $10, No, No, Yes, No, , Private Lot, Yes, Yes, Yes, Casual, , , No, No, No, No, No, , [u'Mexican', u'mexican'], [u'Street Vendors', u'streetvendors'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
los-cunados-restaurant-los-angeles, Los Cunados Restaurant, False,3237536174,16,3, Los Angeles, CA,90003, $11-30, No, No, Yes, Yes, , Private Lot, No, Yes, No, Casual, , Average, No, No, No, Yes, No, No, [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadway-tacos-los-angeles, Broadway Tacos, False,3238987656,1,5, Los Angeles, CA,90003, , Yes, Yes, Yes, Yes, , , , Yes, , , , , , , , , , , [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacos-el-rayo-2-los-angeles, Tacos El Rayo 2, False,3237594930,2,4.5, Los Angeles, CA,90003, Under $10, No, No, Yes, No, , , , Yes, No, Casual, , , , , , , , , [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
santa-lucia-ilopango-restaurante-salvadorean-and-mexican-los-angeles, Santa Lucia Ilopango Restaurante Salvadorean And Mexican, False,3238341333,1,5, Los Angeles, CA,90003, , , , , , , , , , , , , , , , , , , , [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacos-el-gavilan-taco-truck-los-angeles-2, Tacos El Gavilan Taco Truck, False,3237524792,5,4.5, Los Angeles, CA,90003, Under $10, No, No, Yes, No, , , , Yes, Yes, Casual, , , No, Yes, , Yes, No, , [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi-lindo-nayarit-mariscos-los-angeles, Mi Lindo Nayarit Mariscos, True,3235895109,66,3, Los Angeles, CA,90001, , , , , , , , , , , , , , , , , , , , [u'Mexican', u'mexican'], [u'Seafood', u'seafood'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taqueria-sinelly-los-angeles, Taqueria Sinelly, False, ,1,5, Los Angeles, CA,90003, Under $10, No, No, Yes, No, , , , Yes, Yes, Casual, , Quiet, No, Yes, No, Yes, No, Yes, [u'Street Vendors', u'streetvendors'], [u'Mexican', u'mexican'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacos-michoacan-florence-graham, Tacos Michoacan, False, ,3,1.5, Florence-Graham, CA,90052, Under $10, No, No, Yes, No, , , No, Yes, Yes, Casual, , Average, No, Yes, No, Yes, No, , [u'Street Vendors', u'streetvendors'], [u'Mexican', u'mexican'], ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paleteria-la-princessa-los-angeles, Paleteria La Princessa, False,3234222233,1,4, Los Angeles, CA,90001, Inexpensive, , , , No, , , No, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isabella-sweets-los-angeles, Isabella Sweets, False,3237524282,2,5, Los Angeles, CA,90044, Inexpensive, , , , No, , Street, No, , , , , , , , No, , , , [u'Juice Bars & Smoothies', u'juicebars'], [u'Ice Cream & Frozen Yogurt', u'icecream'], [u'Shaved Ice', u'shavedice'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zonehealthy-los-angeles-2, ZoneHealthy, True,8885229663,29,4, Los Angeles, CA,91403, , , , , , , , , , , , , , , , , , , , [u'Food Delivery Services', u'fooddeliveryservices'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurtland-los-angeles-29, Yogurtland, True,3233257044,9,3.5, Los Angeles, CA,90001, Inexpensive, , , , Yes, , Garage, Yes, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lb-cool-treats-los-angeles, LB Cool Treats, False,3234222232,1,5, Los Angeles, CA,90001, Moderate, , , , Yes, , , , , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marthas-cakes-los-angeles, Martha's Cakes, False,3233085434,2,5, Los Angeles, CA,90044, Moderate, , , , No, , , , , , , , , , , , , , , [u'Cupcakes', u'cupcakes'], [u'Desserts', u'desserts'], [u'Bakeries', u'bakeries'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
menchies-frozen-yogurt-los-angeles-5, Menchie's Frozen Yogurt, False,3232779247,11,4.5, Los Angeles, CA,90001, Inexpensive, , , , Yes, , Garage, Yes, , , , , , , , Free, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jayloves-sweets-los-angeles, JayLove's Sweets, True,6264172968,7,5, Los Angeles, CA,90001, Moderate, , , , No, , , No, , , , , , , , , , , , [u'Desserts', u'desserts'], [u'Caterers', u'catering'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el-paraiso-no-2-los-angeles, El Paraiso No 2, False,3235872073,17,4.5, Los Angeles, CA,90001, Inexpensive, , , , No, , Street, Yes, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neveria-y-algo-mas-los-angeles, Neveria Y Algo Mas, False,3235848784,1,5, Los Angeles, CA,90001, Moderate, , , , No, , , Yes, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salaam-west-bakery-restaurant-los-angeles, Salaam West Bakery Restaurant, False,3237508000,2,4, Los Angeles, CA,90044, , , , Yes, , , , , , , Casual, , Quiet, No, , , , , , [u'Restaurants', u'restaurants'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avalon-ice-cream-and-candy-los-angeles, Avalon Ice Cream & Candy, False,3237576062,1,5, Los Angeles, CA,90003, Moderate, , , , Yes, , , , , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold-stone-creamery-walnut-park, Cold Stone Creamery, True,3235858796,22,3, Walnut Park, CA,90255, , , , , , , , , , , , , , , , , , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sammy-goodies-donuts-and-ice-cream-los-angeles, Sammy Goodie's Donuts & Ice Cream, False,3232310500,7,3.5, Los Angeles, CA,90011, Inexpensive, , , , No, , , No, , , , , , , No, No, , , , [u'Donuts', u'donuts'], [u'Coffee & Tea', u'coffee'], [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeans-ice-cream-los-angeles, Jean's Ice Cream, False,3237506855,14,4, Los Angeles, CA,90044, Inexpensive, , , , No, , Street, No, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-sweet-life-los-angeles, The Sweet Life, True,3234002626,14,4, Los Angeles, CA,90037, Inexpensive, , , , Yes, , , No, , , , , , , , , , , , [u'Desserts', u'desserts'], [u'Cupcakes', u'cupcakes'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
